广州市中小客车指标调控管理信息系统
单位节能指标配置
分期编号：201907
分期描述：2019年07月单位指标配置
分期指标配置日期：2019-07-26
数据生成时间：2019-07-26 10:31:07
有效单位申请编码总数：107
配置单位指标总数：650
指标配置初始值：500804
      -中签详细列表数据-
      序号         申请编码         名称
         1      0257103011269      广州安迅经济发展有限公司
         2      0466103024249      广州大威汽车服务有限公司
         3      0506103020279      广州市平果灯具科技有限公司
         4      0523103010853      广东瑞信网络通信有限公司
         5      0784103002961      广州市东本车友汽车服务有限公司
         6      0837103007735      广州汇天纺织有限公司
         7      0877103023985      广州鑫尔汽车服务有限公司
         8      0879103010024      广州市智昊电气技术有限公司
         9      1054102990635      广州网众未来信息技术有限公司
        10      1109103018708      广州鸿粤田汽车销售服务有限公司
        11      1255103023994      广州坤恰商贸有限公司
        12      1447103009359      广州茶博汇咨询有限公司
        13      1606103017574      广州法本进出口有限公司
        14      1994103017258      广州市途胜物流有限公司
        15      2264103017987      广州施力包装材料有限公司
        16      2365103009860      广州优测标准技术服务有限公司
        17      2430102998449      广州欧虎汽车科技有限公司
        18      2435103024250      广州大威汽车服务有限公司
        19      2441103015010      广州明创机电装饰工程有限公司
        20      2456103023944      广东三雄极光照明股份有限公司
        21      2662102995916      广州方华汽车科技有限公司第十九分公司
-1-
 
        22      2688103011260      广州市银东运输有限公司
        23      2778103016380      广州百泳澔服装有限公司
        24      2811103008314      广州北虹纺织服饰有限公司
        25      2838103023912      广州力系贸易有限公司
        26      2870103014070      广州市恒通汽车租赁有限公司
        27      2887103011343      广州安迅天宇客运有限公司
        28      2935102994095      广州广力物流有限公司
        29      3057102995958      广州一凡汽车科技有限公司第二分公司
        30      3088103008178      科大信息科技（广州）有限公司
        31      3171103010957      广州至乐文化传播有限公司
        32      3173103011268      广州安迅经济发展有限公司
        33      3227103021860      广州鑫骏汽车租赁有限公司
        34      3257102999002      广州一凡汽车科技有限公司第十四分公司
        35      3331103024054      广州阔铭商贸有限公司
        36      3334103011342      广州安迅天宇客运有限公司
        37      3461103028817      广州粤通汽车服务有限公司
        38      3569102995942      广州博通汽车科技有限公司第十三分公司
        39      3575103022948      广州遨瀛商务有限公司
        40      3634102995912      广州方华汽车科技有限公司第十五分公司
        41      3791102995870      广州欧虎汽车科技有限公司第十二分公司
        42      3793103011281      广州市银东运输有限公司
        43      4054102995947      广州博通汽车科技有限公司第八分公司
        44      4248102989375      广州市立信纸品包装有限公司
        45      4540103023897      广州明彬汽车租赁有限公司
        46      4567103018707      广州鸿粤田汽车销售服务有限公司
        47      4694103023917      广州晨兮贸易有限公司
        48      4964103022419      广州南江汽车散热器有限公司
        49      5142103009732      广州市九问科技有限公司
        50      5183102997407      广州市清源环境保护科技有限公司
        51      5302103002302      瑞邦（广州）科技有限公司
        52      5303102989660      广州协晟电力安装有限公司
        53      5363103016548      广州工建工程咨询有限公司
        54      5720103010111      广州市粤畅汽车服务有限公司
        55      5770102995969      广州宝格汽车科技有限公司第一分公司
        56      5808102995897      广州欧虎汽车科技有限公司第七分公司
        57      5918103024386      广州骏佳广保丰田汽车销售服务有限公司
        58      6018102995921      广州方华汽车科技有限公司第十一分公司
        59      6098103014058      广州东利汽车租赁有限公司
-2-
        60      6108103012533      广州千佳鑫汽车服务有限公司
        61      6112103010041      广州市聚集餐饮策划有限公司
        62      6218102995869      广州方华汽车科技有限公司
        63      6306103024251      广州大威汽车服务有限公司
        64      6308103003338      广州格瑞得汽车服务有限公司
        65      6339103016163      广东大昌行喜龙汽车贸易有限公司
        66      6381103011064      天野新能源（广州）有限公司
        67      6641103023943      广东三雄极光照明股份有限公司
        68      6825103011221      广州瑞凯汽车销售服务有限公司
